Code,Title,Unit
CSC 202,Overview of Computer Science,3
CSC 204,Introduction to Programming Applications,2
CSC 206,Mathematical Methods II,4
CSC 208,Discrete Structures,3
CSC 210,Probability Theory,3
GNS 202,"Mind, Machine and Society",2
GNS 208,Citizenship Education,2
