Code,Title,Unit,
CSC 302,Computer Programming II (Java),3,
CSC 304,Computer Logic II,3,
CSC 306,Digital Laboratory,1,
CSC 308,Assembly Language Programming,3,
CSC 310,Numerical Computation II,3,
CSC 312,Data Structures and Algorithms,3,
CSC 314,Fundamentals of Software Engineering,3,
CSC 318,Entrepreneurship,3,
