Code,Title,Unit,
CSC 201 ,Computer Programming I ,3,
CSC 203 ,Basic Programming Laboratory ,2,
CSC 205 ,Mathematical Methods I ,4,
CSC 207 ,Real Analysis ,2,
CSC 209 ,Elementary Differential Equations ,3,
CSC 211 ,Organizational Issues ,3,
MGS 201 ,Technology and Society ,2,
GNS 209 ,Citizenship Education ,2,
