Code,Title,Unit,
CSC 401 ,Principles of Programming Languages ,3,
CSC 403 ,Operating System ,3,
CSC 405 ,Programming Project ,3,
CSC 407 ,Artificial Intelligence ,2,
CSC 409 ,Simulation and Modelling ,3,
CSC 411 ,Compiler Construction ,3,
CSC 413 ,Computer Architecture ,3,
