Code,Title,Unit,
CSC 502,Software System Seminar,2,
CSC 504,Hardware System Studies,3,
CSC 506,Data Communication & Computer Networks,3,
CSC 508,Individual Project II,3,
CSC 510,Information Technology Management,2,
CSC 512,Operations Research,3,
CSC 516,Current Topics in Information Technology,2,
CSC 518,Electronics Commerce Technologies,3,
