Code,Title,Unit,
CSC 301 ,Computer Programming I (C++) ,3,
CSC 303 ,Computer Logic I ,3,
CSC 305 ,Database Design & Management ,3,
CSC 307 ,Numerical Computation I ,3,
CSC 309 ,Computer Engineering ,3,
CSC 313 ,Linear Algebra I ,2,
CSC 315 ,World Wide Web System ,3,
