Code,Title,Unit,
CSC 501 ,Software Engineering Project ,3,
CSC 503 ,Software Engineering Methodologies ,2,
CSC 507 ,Individual Project I ,3,
CSC 515 ,Decision Support Systems ,2,
CSC 517 ,Computer Performance Evaluation ,2,
CSC 519 ,Computer Storage and Retrieval ,3,
CSC 521 ,Computer Graphics ,3,
CSC 523 ,Principles and Application of Data Mining ,3,
