Code,Title,Unit,
CSC 402,Introduction to information Systems,3,
CSC 404,Computer Applications,3,
CSC 406,Introduction to Microprocessor Technology,3,
CSC 408,User Interface Design,3,
CSC 410,Management Information Systems,3,
CSC 412,Principles and Applications of Data Mining,3,
CSC 414,Automata Theory and Computability,3,
CSC 416,Project Methodology,1,
